name;Label;owner;affiliation;platform;type;start_time;Degree;indegree;outdegree;BetweennessCentrality
62;""" M.. Mrs. Chan... you don't know me but I am so sorry..""";NAN;;RL;Sound;04/09/2001;2;2;0;0,00
63;Metropolitan Living Homes;;;INT;Webpage;04/09/2001;35;17;18;8,70
64;Bosch Bauwerke GMBH;BB;Beate Bosch;INT;Webpage;04/09/2001;17;10;7;1,88
65;Kate Nei webpage;KN;Kate Nei;INT;Webpage;04/09/2001;16;13;3;1,81
66;Martin Swinton webpage;MS;Martin Swinton;INT;Webpage;04/09/2001;17;3;14;8,27
67;'Breaking News: The Tragic Death of a Martin Swinton Home!';;Martin Swinton;INT;Webpage;04/16/2001;1;1;0;0,00
68;Corporate Officers;;;INT;Webpage;04/09/2001;1;1;0;0,00
69;Investor Relations;;;INT;Webpage;04/09/2001;3;2;1;0,18
70;Press Releases;;;INT;Webpage;04/09/2001;1;1;0;0,00
71;Rising Stars;;;INT;Webpage;04/09/2001;20;10;10;0,00
72;Beate Bosch;;;INT;Webpage;04/09/2001;22;10;12;0,28
73;McDonald Heard;;;INT;Webpage;04/09/2001;21;10;11;0,17
74;Kate Nei;;;INT;Webpage;04/09/2001;24;12;12;1,15
75;Martin Swinton;;;INT;Webpage;04/09/2001;22;10;12;0,67
76;House Calls;;;INT;Webpage;04/09/2001;21;10;11;0,17
77;Iasa Musings;;;INT;Webpage;04/09/2001;20;10;10;0,00
78;Monthly News;;;INT;Webpage;04/09/2001;20;11;10;0,48
79;Other Features;;;INT;Webpage;04/09/2001;21;10;11;0,17
80;Ballroom;;;INT;Webpage;04/09/2001;23;11;12;0,17
81;Borneo Root;;;INT;Webpage;04/09/2001;2;2;0;0,00
82;Cruises;;;INT;Webpage;04/09/2001;2;2;0;0,00
83;Revo Grout;;;INT;Webpage;04/09/2001;1;1;0;0,00
84;Electracopter;;;INT;Webpage;04/09/2001;1;1;0;0,00
85;JWG Wine;;;INT;Webpage;04/09/2001;1;1;0;0,00
86;Nannybot;;;INT;Webpage;04/09/2001;1;1;0;0,00
87;No Bad AI's;;;INT;Webpage;04/09/2001;1;1;0;0,00
88;Subscribe;;;INT;Webpage;04/09/2001;1;1;0;0,00
89;Departments;;;INT;Webpage;04/09/2001;49;46;18;8,38
90;Campuses;;;INT;Webpage;04/09/2001;49;46;13;1,46
91;BWU Businesses;;;INT;Webpage;04/09/2001;49;46;3;0,02
92;BWU News;;;INT;Webpage;04/09/2001;18;1;18;5,18
93;Tragic Death, Glorious Life: The Visionary Passes;;;INT;Post;04/09/2001;5;1;4;0,00
94;Alarming Thermoplankton Dead Zones;;;INT;Post;04/09/2001;5;1;4;0,00
95;Another Mitochondrial DNA Mystery;;;INT;Post;04/09/2001;5;1;4;0,00
96;Anniversary Of The Bangalore Tiger;;;INT;Post;04/09/2001;5;1;4;0,00
97;Xander's Death Blow The Latest In A Chorus Of Storms Ravages The Indian Federation;;;INT;Post;04/09/2001;5;2;4;0,01
98;Xander and Thor: What Went Wrong?;;;INT;Post;04/09/2001;5;2;4;0,01
99;Xander Sidebar An Introduction to Thermo-Plankton;;;INT;Post;04/09/2001;5;2;4;0,01
100;BWU-Guadalajara Ends Controversial Research Program;;;INT;Post;04/09/2001;6;1;5;0,32
101;Senator Mann Opens the Gates in Washington;;;INT;Post;04/09/2001;5;1;4;0,00
102;BWU-Edinburgh Prepares for Centennial;;;INT;Post;04/09/2001;5;1;4;0,00
103;BWU Robots Assist Research on Ocean Floor;;;INT;Post;04/09/2001;5;1;4;0,00
104;Dr. Jeanine Salla Named to Dynatech Chair;;;INT;Post;04/09/2001;5;1;4;0,00
105;BWU-NY Student Found Catatonic In Dorm Room.;;;INT;Post;04/09/2001;5;1;4;0,00
106;A Darkening Shadow Over Troubled Waters;;;INT;Post;05/23/2001;5;2;4;0,01
107;Discord in Palmer Land;;;INT;Post;05/23/2001;5;2;4;0,01
108;Korea Cup: We Have A Winner!;;;INT;Post;05/23/2001;5;2;4;0,01
109;Bangalore;;;INT;Post;04/09/2001;4;1;4;0,00
110;Dunedin;;;INT;Post;04/09/2001;4;1;4;0,00
111;Edinburgh;;;INT;Post;04/09/2001;4;1;4;0,00
112;Fez;;;INT;Post;04/09/2001;4;1;4;0,00
113;Guadalajara;;;INT;Post;04/09/2001;4;1;4;0,00
114;New York City;;;INT;Post;04/09/2001;4;1;4;0,00
115;Pyongyang;;;INT;Post;04/09/2001;4;1;4;0,00
116;Santiago;;;INT;Post;04/09/2001;4;1;4;0,00
117;Wiesbaden;;;INT;Post;04/09/2001;4;1;4;0,00
118;Worcester;;;INT;Post;04/09/2001;4;1;4;0,00
119;Arts and Humanities;;;INT;Webpage;04/09/2001;4;1;4;0,02
120;Agristudies;;;INT;Webpage;04/09/2001;4;1;4;0,02
121;Bioscience;;;INT;Webpage;04/09/2001;4;1;4;0,02
122;Business;;;INT;Webpage;04/09/2001;4;1;4;0,02
123;Climate Control;;;INT;Webpage;04/09/2001;4;1;4;0,02
124;Computing;;;INT;Webpage;04/09/2001;4;1;4;0,02
125;Data Sphere Studies;;;INT;Webpage;04/09/2001;4;1;4;0,02
126;Education;;;INT;Webpage;04/09/2001;4;1;4;0,02
127;Engineering;;;INT;Webpage;04/09/2001;4;1;4;0,02
128;Law;;;INT;Webpage;04/09/2001;4;1;4;0,02
129;Mathematics and Physics;;;INT;Webpage;04/09/2001;4;1;4;0,02
130;Medicine;;;INT;Webpage;04/09/2001;4;1;4;0,02
131;Oceanography and Earth Sciences;;;INT;Webpage;04/09/2001;4;1;4;0,02
132;Propulsion;;;INT;Webpage;04/09/2001;4;1;4;0,02
133;Social Sciences;;;INT;Webpage;04/09/2001;4;1;4;0,02
134;"""Your interface does not conform to Earth-Net 39 standard.""";;;INT;Post;04/09/2001;2;1;1;1,68
135;Cloudmaker;EC;Evan Chan;INT;Photo;04/09/2001;4;1;3;0,19
136;Cloudmaker pop-up;EC;Evan Chan;INT;Webpage;04/09/2001;1;1;0;0,00
137;Evan's Page;EC;Evan Chan;INT;Webpage;04/09/2001;12;5;7;7,56
138;Nancy's Page;EC;Nancy Chan;INT;Webpage;04/09/2001;14;7;7;3,47
139;Nancy's Zen Garden #1;EC;Nancy Chan;INT;Photo;04/09/2001;2;1;1;0,00
140;Nancy's Zen Garden #2;EC;Nancy Chan;INT;Photo;04/09/2001;2;1;1;0,00
141;Nancy's Zen Garden #3;EC;Nancy Chan;INT;Photo;04/09/2001;2;1;1;0,00
142;Derrick's boat;EC;Derrick Chan;INT;Photo;04/09/2001;1;1;0;0,00
143;Nancyâ€™s Back;EC;Evan Chan;INT;Photo;04/09/2001;2;1;1;0,00
144;Nice day in the sun;EC;Evan Chan;INT;Photo;04/09/2001;2;1;1;0,00
145;Spending time together;EC;Evan Chan;INT;Photo;04/09/2001;2;1;1;0,00
146;Nancy in Her Play Clothes;EC;Evan Chan;INT;Photo;04/09/2001;2;1;1;0,00
147;Cheers!;EC;Evan Chan;INT;Photo;04/09/2001;2;1;1;0,00
148;Evan having boat envy;EC;Evan Chan;INT;Photo;04/09/2001;2;1;1;0,00
149;Evan in His Work Uniform;EC;Evan Chan;INT;Photo;04/09/2001;3;1;2;5,44
150;Evan's close up shot;EC;Evan Chan;INT;Photo;04/09/2001;2;1;1;0,00
151;Those innocent eyes;EC;Evan Chan;INT;Photo;04/09/2001;2;1;1;0,00
152;Derrick & Lucy;EC;Evan Chan;INT;Photo;04/09/2001;2;1;1;0,00
153;With our friends the Sallas;EC;Evan Chan;INT;Photo;04/09/2001;2;1;1;0,00
154;Lucas & Phoebe;EC;Evan Chan;INT;Photo;04/09/2001;2;1;1;0,00
155;Sentient Property Crime Bureau webpage;;;INT;Webpage;04/09/2001;13;6;7;12,04
156;"""Boy, did you pick the wrong side.""";;;RL;Sound;04/13/2001;1;1;0;0,00
157;7 TO 1 A RESPONSE BY KATYA RUKOWSKY;;;INT;Webpage;04/09/2001;4;2;2;0,25
158;Who is the Anti-Robot Militia?;;;INT;Webpage;04/09/2001;16;8;8;0,00
159;What is the Anti-Robot Militia?;;;INT;Webpage;04/09/2001;16;8;8;0,00
160;Mankind First â€” ARM's positions on the issues;;;INT;Webpage;04/09/2001;16;8;8;0,00
161;Know Thy Enemy.;;;INT;Webpage;04/09/2001;17;9;8;1,53
162;NEWS from the Front;;;INT;Webpage;04/09/2001;17;8;9;0,14
163;Heroes and martyrs.;;;INT;Webpage;04/09/2001;16;8;8;0,00
164;Support ARM â€” order merchandise.;;;INT;Webpage;04/09/2001;16;8;8;0,00
165;Members Only Pages.;;;INT;Webpage;04/09/2001;17;8;9;0,28
166;Metalle;;;INT;Webpage;04/09/2001;6;1;5;0,17
167;Keramik;;;INT;Webpage;04/09/2001;5;1;4;0,00
168;Steine;;;INT;Webpage;04/09/2001;5;1;4;0,00
169;Flussigkeiten;;;INT;Webpage;04/09/2001;5;1;4;0,00
170;Unser unternehmen;;;INT;Webpage;04/09/2001;11;7;4;0,37
171;Nachrichten;;;INT;Webpage;04/09/2001;12;7;5;0,66
172;IASA Links;;;INT;Webpage;04/09/2001;10;9;1;0,09
173;Freidenker;;;INT;Webpage;04/09/2001;6;1;5;0,20
175;Elements of Design;KN;Kate Nei;INT;Webpage;04/09/2001;17;9;8;1,31
176;Fire;KN;Kate Nei;INT;Webpage;04/09/2001;16;8;8;0,01
177;Water;KN;Kate Nei;INT;Webpage;04/09/2001;16;8;8;0,01
178;Earth;KN;Kate Nei;INT;Webpage;04/09/2001;16;8;8;0,01
179;Air;KN;Kate Nei;INT;Webpage;04/09/2001;16;8;8;0,01
180;Light;KN;Kate Nei;INT;Webpage;04/09/2001;16;8;8;0,01
181;News;KN;Kate Nei;INT;Webpage;04/09/2001;17;8;9;0,92
182;Operations;KN;Kate Nei;INT;Webpage;04/09/2001;16;8;8;0,01
183;"(212) 613-1680 ""Hello you have reached Martin Swinton Designs.""";MS;Martin Swinton;RL;Sound;04/09/2001;5;2;3;1,69
184;[terry.html];MS;Martin Swinton;INT;Webpage;04/09/2001;1;1;0;0,00
185;[origen.html];MS;Martin Swinton;INT;Webpage;04/09/2001;1;1;0;0,00
186;[martin.html];MS;Martin Swinton;INT;Webpage;04/09/2001;1;1;0;0,00
187;[kazak.html];MS;Martin Swinton;INT;Webpage;04/09/2001;1;1;0;0,00
188;[ivy.html];MS;Martin Swinton;INT;Webpage;04/09/2001;2;1;1;1,58
189;[indira.html];MS;Martin Swinton;INT;Webpage;04/09/2001;1;1;0;0,00
190;[iasa.html];MS;Martin Swinton;INT;Webpage;04/09/2001;1;1;0;0,00
191;[ariel.html];MS;Martin Swinton;INT;Webpage;04/09/2001;1;1;0;0,00
192;[ali.html];MS;Martin Swinton;INT;Webpage;04/09/2001;1;1;0;0,00
193;[brutus.html];MS;Martin Swinton;INT;Webpage;04/09/2001;1;1;0;0,00
194;[ecumartinreact.html];MS;Martin Swinton;INT;Webpage;04/09/2001;1;1;0;0,00
195;Your SPCP;;;INT;Webpage;04/09/2001;8;4;4;0,00
196;Sentient Property and the Law;;;INT;Webpage;04/09/2001;8;4;4;0,00
197;SPCB's Most Wanted;;;INT;Webpage;04/09/2001;10;4;6;0,15
198;News and Investigations;;;INT;Webpage;04/09/2001;11;4;7;3,24
199;Hidden HTML page (Red King page);RK;Red King;INT;Webpage;04/09/2001;15;4;11;32,14
200;Jeanine Salla department page;;Jeanine Salla;INT;Webpage;04/09/2001;17;9;9;35,16
201;Pan American Coroners Office;;;INT;Webpage;04/09/2001;21;15;6;11,49
202;What is PACO;;;INT;Webpage;04/09/2001;17;13;4;0,00
203;Case File Database;;;INT;Webpage;04/09/2001;23;13;10;13,70
204;Press and News;;;INT;Webpage;04/09/2001;25;13;12;1,16
205;FAQs;;;INT;Webpage;04/09/2001;17;13;4;0,00
206;Dr. Djombe Ojimbwa Retires;;;INT;Webpage;04/09/2001;6;1;5;0,00
207;New Forensic Robotics Institute Opens;;;INT;Webpage;04/09/2001;6;1;5;0,00
208;Was one of the Saratoga shooter electronically-depressed?;;;INT;Webpage;04/09/2001;6;1;5;0,00
209;New Director of Autopsy Services;;;INT;Webpage;04/09/2001;6;1;5;0,00
210;Coroner in Saratoga killings steps down.;;;INT;Webpage;04/09/2001;6;1;5;0,00
211;Homocysteine and Aids-Hybrid-K;;;INT;Webpage;04/09/2001;6;1;5;0,00
212;New Head of Forensic Anthropology at PACO;;;INT;Webpage;04/09/2001;6;1;5;0,00
213;Pet Care;;;INT;Webpage;04/09/2001;6;1;5;0,00
214;Evan Chan Case File;;Evan Chan;INT;Webpage;04/09/2001;3;2;1;0,15
215;Case File Fee Pop-up;;Sencha;INT;Webpage;04/09/2001;1;1;0;0,00
216;AIT webpage;;;INT;Webpage;04/09/2001;56;28;28;3,54
217;Administration (AIT);;;INT;Webpage;04/09/2001;34;27;7;0,00
218;Student Services (AIT);;;INT;Webpage;04/09/2001;34;27;7;0,00
219;Campuses (AIT);;;INT;Webpage;04/09/2001;34;27;7;0,00
220;Athletics (AIT);;;INT;Webpage;04/09/2001;34;27;7;0,00
221;Student Research (AIT);;;INT;Webpage;04/09/2001;34;27;7;0,00
222;Graduate Placement (AIT);;;INT;Webpage;04/09/2001;35;27;8;0,87
223;Alumni & Friends (AIT);;;INT;Webpage;04/09/2001;37;27;10;7,61
224;AIT Today;;;INT;Webpage;04/09/2001;42;22;20;0,98
225;Baffling Malfunctions Plague Datasphere;;;INT;Post;04/09/2001;11;2;9;0,01
226;The Sad Passing of AIT Alumnus Jeanine Salla;;Jeanine Salla;INT;Post;04/09/2001;11;2;9;0,01
227;Circuit Mystery Part 1: Troubles at the Cathedrium;;;INT;Post;04/09/2001;11;2;9;0,01
228;Circuit Mystery Part 2: S2 on Trident and the TP-Web;;;INT;Post;04/09/2001;11;2;9;0,01
229;Robots' Feelings About Mankind;;;INT;Post;04/09/2001;12;2;10;0,10
230;Mann Act II Passes on Fast Track;;;INT;Post;04/09/2001;11;2;9;0,01
231;Senator Julia Mann Shot;;;INT;Post;04/09/2001;11;2;9;0,01
232;Mann Act II Introduced Into Senate;;;INT;Post;04/09/2001;11;2;9;0,01
233;AIT Announces First Mission to the Stars!;;;INT;Post;04/09/2001;11;2;9;0,01
234;Again Spinoza Speaks;;;INT;Post;04/09/2001;11;2;9;0,01
235;AIT-UB's Yakutia Study Uncovers Ruse;;;INT;Post;04/09/2001;11;2;9;0,01
236;EUSC's Alexis Announces Hearings;;;INT;Post;04/09/2001;11;2;9;0,01
237;AIT-Brooks Djinn Caught Passing Top Secret Code;;;INT;Post;04/09/2001;12;3;9;2,78
238;AIT-Brooks Without Conscience;;;INT;Post;04/09/2001;11;2;9;0,01
239;AIT-Zaragosa's Alexis Appointed to EU's Storm Commission;;;INT;Post;04/09/2001;11;2;9;0,01
240;AIT Investigates Band of Tweaks;;;INT;Post;04/09/2001;11;2;9;0,01
241;AIT Completes AI System for ECO;;;INT;Post;04/09/2001;11;2;9;0,01
242;"AIT Implants Give Accident Victims ""New Legs""";;;INT;Post;04/09/2001;11;2;9;0,01
243;Cutting Edge Gladiator Routines Bring Oilshed to New Level;;;INT;Post;04/09/2001;12;2;10;0,57
244;AIT Sports Roundup - with an editorial by Mara Finnerty;;;INT;Post;04/09/2001;11;2;9;0,01
246;Belladerma webpage;;;INT;Webpage;04/09/2001;18;10;8;1,42
247;Belladerma's Beautiful Companions;;;INT;Webpage;04/09/2001;16;8;8;0,00
248;The Milano Gallery;;;INT;Webpage;04/09/2001;16;8;8;0,00
249;Gallery of Pets;;;INT;Webpage;04/09/2001;16;8;8;0,00
250;Statuary Hall;;;INT;Webpage;04/09/2001;16;8;8;0,00
251;Topiary Hall;;;INT;Webpage;04/09/2001;16;8;8;0,00
252;Belladerma Catalog;;;INT;Webpage;04/09/2001;19;9;10;0,53
253;Option Menu;;;INT;Webpage;04/09/2001;16;8;8;0,00
254;Contact Us;;;INT;Webpage;04/09/2001;17;8;9;2,71
255;Belladerma Faxes;;;RL;Object;04/09/2001;2;1;1;2,81
256;"""No, u didnt want 2 tok 2 P-a aneway.""";;;EMAIL;Email;04/09/2001;2;1;1;2,92
257;"""F: Hello? Hang on a sec... M: Belladerma's willing to pay for?""";;;RL;Sound;04/09/2001;2;1;1;3,01
258;Rogue Retrieval webpage;;;INT;Webpage;04/09/2001;14;7;7;5,35
259;History;;;INT;Webpage;04/09/2001;11;6;5;0,02
260;Agents;;;INT;Webpage;04/09/2001;14;8;6;0,77
261;FAQ (RR);;;INT;Webpage;04/09/2001;11;6;5;0,02
262;Testimonials;;;INT;Webpage;04/09/2001;11;6;5;0,02
263;Contact Us;;;INT;Webpage;04/09/2001;7;7;0;0,00
265;UPDATE: Tiger Team Takes Down Hostage-Killing Rogue;;;INT;Post;04/09/2001;2;1;1;4,76
266;[update.htm];;;INT;Webpage;04/09/2001;10;3;7;5,48
267;Kent Whitman autopsy report;;;INT;Webpage;04/09/2001;12;3;9;20,52
268;"Secret image message (""""Take free bird to DC node for new face,"")";;;INT;Photo;04/09/2001;3;2;1;1,66
269;Electric Toyland webpage;;;INT;Webpage;04/09/2001;8;3;5;0,79
270;Guest Book (ET);;;INT;Webpage;04/09/2001;7;2;5;0,43
271;Specials (ET);;;INT;Webpage;04/09/2001;6;2;4;0,01
272;Contact (ET);;;INT;Webpage;04/09/2001;4;3;1;0,15
273;"[IMAGE OF ELECTRIC TOYLAND LOGO] ""Thank you for contacting Electric Toyland.""";;;EMAIL;Email;04/09/2001;1;1;0;0,00
274;Rational Hatter webpage;;;INT;Webpage;04/09/2001;11;6;5;1,52
275;Panama Hats;;;INT;Webpage;04/09/2001;10;5;5;0,00
276;Tensilite Hats;;;INT;Webpage;04/09/2001;10;5;5;0,00
277;Felt Hats;;;INT;Webpage;04/09/2001;10;5;5;0,00
278;Tweed Hats;;;INT;Webpage;04/09/2001;10;5;5;0,00
279;Custom Designs;;;INT;Webpage;04/09/2001;14;5;9;0,81
280;Order;;;INT;Webpage;04/09/2001;1;1;0;0,00
281;Sketch;;;INT;Webpage;04/09/2001;1;1;0;0,00
282;"Secret order page (""hakd & crakd bi the bad giz, damit. Slopenis kilz."")";;;INT;Webpage;04/09/2001;1;1;0;0,00
283;"""OK, I've tagged you for periodic bursts of Laia-type insight.""";LJS;Mephisto;EMAIL;Email;04/09/2001;2;1;1;0,00
284;"""Venus, the goddess of love, has a surface pressure of 94.5 atmospheres and a surface temperature over 400ÂşC.,""";LJS;Laia Joanna Salla;EMAIL;Email;04/17/2001;3;2;1;3,07
285;Easter 2142;LJS;Laia Joanna Salla;INT;Post;04/09/2001;12;10;2;1,03
286;15 May 42;LJS;Laia Joanna Salla;INT;Post;04/09/2001;10;8;2;0,08
287;They Did It;LJS;Laia Joanna Salla;INT;Post;04/09/2001;10;7;3;0,08
288;Not Entirely Sober;LJS;Laia Joanna Salla;INT;Post;04/09/2001;12;7;5;0,33
289;Off to See the King;LJS;Laia Joanna Salla;INT;Post;06/19/2001;11;6;5;1,16
290;Mike Royal;LJS;Laia Joanna Salla;INT;Post;04/09/2001;10;4;6;0,90
291;Independence Day;LJS;Laia Joanna Salla;INT;Post;04/09/2001;13;3;10;0,76
292;So who was I kidding?;LJS;Laia Joanna Salla;INT;Post;04/09/2001;10;2;8;0,15
293;Waking;LJS;Laia Joanna Salla;INT;Post;04/09/2001;9;1;8;0,00
294;"""Your 'wares are pretty hopelessly out of date."" Popup";LJS;Laia Joanna Salla;INT;Webpage;04/09/2001;1;1;0;0,00
295;mannact.htm;LJS;Laia Joanna Salla;INT;Webpage;04/09/2001;4;2;2;1,24
296;"""Some progress here.  I have certainly learned to pay attention to bounce-back email...""";LJS;Laia Joanna Salla;EMAIL;Email;04/24/2001;2;1;1;2,93
298;"""Are you a man or are you a mouse?""";;;INT;Webpage;04/24/2001;3;2;1;2,72
299;"[94hgblkf94jf.asp] ""After the summer Over the moon And between the nets""";;;INT;Webpage;04/24/2001;4;2;2;2,84
300;congratulations page;;;INT;Webpage;04/24/2001;2;1;1;0,91
301;Wrong Page;;;INT;Webpage;04/24/2001;2;1;1;0,94
302;'What's my name?' Page;;;INT;Puzzle;04/24/2001;4;1;3;0,97
303;Error message sound;;;INT;Sound;04/24/2001;2;1;1;0,00
304;'Where am I from?' Page;;;INT;Puzzle;04/24/2001;4;2;2;0,32
305;'What business am I in?' Page;;;INT;Puzzle;04/24/2001;3;1;2;0,00
306;"""No faculty mymbyr yxists with thy namy of >>mowz<<.""";;;INT;Webpage;04/24/2001;2;1;1;0,59
307;"""Georg"" page";;;INT;Puzzle;04/24/2001;3;1;2;1,30
308;"""The IASA hack in not Lancelot Brown."" Page";;;INT;Webpage;04/24/2001;2;1;1;0,05
309;"""Knock, knock, knock! Who's there,"" Pop-up";;;INT;Webpage;04/24/2001;12;1;11;2,71
310;Martin Swinton Diary;;;INT;Webpage;04/24/2001;6;2;4;0,59
311;Gallery (Martin Swinton);;;INT;Webpage;04/24/2001;2;1;1;1,72
312;Japanes Kate Nei site;;;INT;Webpage;04/24/2001;18;9;9;1,49
313;News (Japanese Kate Nei site);;;INT;Webpage;04/24/2001;16;8;8;0,23
315;Elements of Design (Japanese Kate Nei site);KN;Kate Nei;INT;Webpage;04/24/2001;17;8;9;0,00
316;Fire (Japanese Kate Nei site);KN;Kate Nei;INT;Webpage;04/24/2001;17;8;9;0,00
317;Water (Japanese Kate Nei site);KN;Kate Nei;INT;Webpage;04/24/2001;17;8;9;0,00
318;Earth (Japanese Kate Nei site);KN;Kate Nei;INT;Webpage;04/24/2001;17;8;9;0,00
319;Air (Japanese Kate Nei site);KN;Kate Nei;INT;Webpage;04/24/2001;17;8;9;0,00
320;Light (Japanese Kate Nei site);KN;Kate Nei;INT;Webpage;04/24/2001;16;7;9;0,00
321;Operations (Japanese Kate Nei site);KN;Kate Nei;INT;Webpage;04/24/2001;17;8;9;0,00
322;La Clinique de Lille webpage;;;INT;Webpage;04/24/2001;4;2;2;0,43
323;Bangalore World University News Networks;FAN;;INT;Webpage;04/09/2001;23;11;12;12,24
324;Subscribe (BWUNN);FAN;;INT;Webpage;04/09/2001;10;8;2;0,00
325;Filmfest;FAN;;INT;Webpage;04/09/2001;10;9;1;0,15
